CNN,STREET1,STREET2,DETECTION,STREET3,SUP_DIST,STREET4,SIG_NUM,TYPE,IC_MAKE,MODEL,CABINET_SI,SYSTEM_NUM,MASTER,BBS,VEH_ACTUAT,PED_SIGNAL,PED_ACTUAT,TBC,INTERCONNE,PREEMPT_PR,D_ATE2070,PROJECT_NE,PROJECT_OL,UPGRADED,YR_OF_CONT,LAST_UPGRA,NEW_SIGNAL,MOD_PROJEC,FULL_UPGRA,BEACON_FLA,FUNDING,RLCAM,STARTYEAR,CALTRANS_R,CALTRANS,PERCENT_C,SF,PERCENT_SF,PERCENT_PO,LAMP_ASSGN,LAMP_SORT,SORT_ME,APS,shape,data_as_of,data_loaded_at,Neighborhoods,SF Find Neighborhoods,Current Police Districts,Current Supervisor Districts,Analysis Neighborhoods
24662000,GRANT,SUTTER,OPTICOM,,3,,9413500,SIGNAL,MCCAIN,2070-TS2-1,MSF,78,,,,ALL,,GPS,PROXIM,"TSP,FIRE PREEMPT",,,,NONE,,0,,,,,,,1957,,,0,,0,0,74,,,,POINT (-122.405396 37.78963),04/26/2023 10:24:48 PM,09/25/2023 12:00:14 PM,19,19,6,3,8
24908000,POST,STOCKTON,OPTICOM,,3,,9524000,SIGNAL,EAGLE,2070-TS2-1,MSF,78,,,,ALL,,GPS,FIBER,"TSP,FIRE PREEMPT",,Lower Stockton,,NONE,,0,,,,,,,1954,,,0,,0,0,66,,CAB,APS_ENAV 4WIRE_DPW PROW (8),POINT (-122.40677 37.788498),04/26/2023 10:24:48 PM,09/25/2023 12:00:15 PM,19,19,6,3,8
5331101,EVANS,POST OFFICE,,,10,,9334000,SIGNAL,EAGLE,2070-TS2-1,G,ISOLATED,,,WIRELESS,ALL,YES,GPS,,,,,CT 51,NEW DONE,,1999,,,,,SALES TAX,,1999,,,0,,0,0,24,,,,POINT (-122.38278 37.7399),04/26/2023 10:24:48 PM,09/25/2023 12:00:12 PM,76,76,2,9,1
23566000,19TH ST,ILLINOIS,VETAG,,10,,0,SIGNAL,MCCAIN,2070-TS2-1,MSF,28,,,WIRELESS,ALL,YES,GPS,,TRANSIT PREEMPT,,,3RDLRP,NEW DONE,,0,DONE,NONE,NONE,NONE,,,2019,,,0,,0,0,85,,,APS ENAV 2WIRE MISSION BAY LOOP (9),POINT (-122.38769 37.761826),04/26/2023 10:25:40 PM,09/25/2023 12:00:16 PM,55,55,2,9,26
27578000,ARGUELLO,LAKE,,SACRAMENTO,1.2,,9174500,SIGNAL,MCCAIN,2070-TS2-1,MSF65-ATC,14,,,,ALL,,GPS,,,,,ARGUELLO; CT 18,FULL DONE,12/19,2019,NONE,NONE,DONE,NONE,,,1972,,,0,,0,0,02,,,APS iNAV 2WIRE ARGUELLO (8),POINT (-122.45928 37.786915),04/26/2023 10:24:48 PM,09/25/2023 12:00:15 PM,4,4,8,6,31
22424000,FOWLER,PORTOLA,,SYDNEY,7,,9357000,SIGNAL,PEEK,2070-TS2-1,G,33,,,WIRELESS,SOME PHASES,YES,GPS,,,,,,NONE,,0,,,,,,,1961,,,0,,0,0,65,,,APS_4WIRE_ARRA (3),POINT (-122.45336 37.744595),04/26/2023 10:24:48 PM,09/25/2023 12:00:15 PM,72,72,9,8,41
27560000,CALIFORNIA,COMMONWEALTH,,,2,,9243300,BEACON - RRFB,JSF,AB-9400,,BEACON,,,,N.A.,YES,,,,,,CT 63,BEACON DONE,,0,NONE,NONE,NONE,DONE,SALES TAX,,2018,,,0,,0,0,,,,,POINT (-122.455864 37.786106),04/26/2023 10:25:40 PM,09/25/2023 12:00:16 PM,10,10,8,6,31
21486000,GENEVA,MISSION,OPTICOM,,11,,9390000,SIGNAL,ECONOLITE,2070-TS2-1,MSF,30,,,,ALL,,GPS,PROXIM,"TSP,FIRE PREEMPT",,,"CT 23, MISSION IV",FULL DONE,,1999,NONE,NONE,DONE,NONE,SALES TAX,,1950,,,0,,0,0,54,,,APS_4WIRE_PH2 (8),POINT (-122.44102 37.71646),04/26/2023 10:24:48 PM,09/25/2023 12:00:13 PM,80,80,9,1,28
33572000,CLARENDON,GALEWOOD,,,7,,0,BEACON,,N/A,N/A,BEACON,,,,n.a.,,,,,,,,B&F,,0,NONE,NONE,NONE,DONE,,,0,,,0,,0,0,46,,,,POINT (-122.45601 37.75233),04/26/2023 10:25:40 PM,09/25/2023 12:00:15 PM,48,48,7,8,38
25906000,GOUGH,OAK,OPTICOM,,5,,9405500,SIGNAL,ECONOLITE,2070-TS2-TYPE-1,2070-MSF-TS2-TYPE-1,16B,,,,ALL,,GPS,FIBER,FIRE PREEMPT,,,FELL/OAK,FULL DONE,07/00,0,NONE,NONE,DONE,NONE,SALES TAX,FUTURE,1953,,,0,,0,0,35,,,,POINT (-122.4226 37.77502),04/26/2023 10:24:48 PM,09/25/2023 12:00:14 PM,26,26,4,11,9
